timestamp,duration,status
2023-01-21T23:48:51.433Z,155.755,not-afk
2023-01-21T23:48:51.433Z,15.534,not-afk
2023-01-21T23:42:22.726Z,388.711,afk
2023-01-21T23:42:22.726Z,314.17,afk
2023-01-21T23:42:22.726Z,324.177,afk
2023-01-21T23:42:22.726Z,309.161,afk
2023-01-21T23:41:46.432Z,36.309,not-afk
2023-01-21T23:31:06.538Z,639.893,afk
2023-01-21T23:31:06.538Z,384.619,afk
2023-01-21T23:31:06.538Z,394.631,afk
2023-01-21T23:31:06.538Z,379.613,afk
2023-01-21T23:30:35.637Z,30.916,not-afk
2023-01-21T23:15:56.569Z,879.067,afk
2023-01-21T23:15:56.569Z,383.498,afk
2023-01-21T23:15:56.569Z,393.504,afk
2023-01-21T23:15:56.569Z,398.508,afk
2023-01-21T23:15:56.569Z,403.512,afk
2023-01-21T23:15:56.569Z,378.49,afk
2023-01-21T23:15:49.569Z,7.015,not-afk
2023-01-21T23:09:58.772Z,350.796,afk
2023-01-21T23:09:58.772Z,295.73,afk
2023-01-21T23:09:58.772Z,305.739,afk
2023-01-21T23:09:58.772Z,290.725,afk
2023-01-21T23:00:43.176Z,555.61,not-afk
2023-01-21T22:50:45.069Z,598.106,afk
2023-01-21T22:50:45.069Z,402.978,afk
2023-01-21T22:50:45.069Z,397.972,afk
2023-01-21T22:50:42.302Z,2.782,not-afk
2023-01-21T22:45:57.991Z,284.31,afk
2023-01-21T22:45:57.991Z,239.464,afk
2023-01-21T22:45:57.991Z,234.458,afk
2023-01-21T22:21:04.833Z,1493.174,not-afk
2023-01-21T22:16:19.414Z,285.418,afk
2023-01-21T22:16:19.414Z,195.335,afk
2023-01-21T22:03:42.762Z,756.666,not-afk
2023-01-21T21:59:05.946Z,252.378,afk
2023-01-21T21:59:05.945Z,276.816,afk
2023-01-21T21:59:05.945Z,276.816,afk
2023-01-21T21:52:37.262Z,388.697,not-afk
2023-01-21T21:48:37.054Z,240.207,afk
2023-01-21T21:48:37.054Z,215.166,afk
2023-01-21T21:48:37.054Z,210.162,afk
2023-01-21T21:38:43.027Z,594.042,not-afk
2023-01-21T21:38:43.027Z,10.41,not-afk
2023-01-21T21:26:15.413Z,747.622,afk
2023-01-21T21:26:15.413Z,545.265,afk
2023-01-21T21:26:15.413Z,545.265,afk
2023-01-21T21:26:15.413Z,535.255,afk
2023-01-21T21:24:52.539Z,82.889,not-afk
2023-01-21T21:24:52.539Z,27.028,not-afk
2023-01-21T21:19:33.491Z,319.062,afk
2023-01-21T21:19:33.491Z,271.092,afk
2023-01-21T21:19:33.491Z,271.092,afk
2023-01-21T21:19:33.491Z,261.074,afk
2023-01-21T21:13:52.413Z,341.094,not-afk
2023-01-21T21:13:52.413Z,168.748,not-afk
2023-01-21T21:13:52.413Z,168.748,not-afk
2023-01-21T21:13:52.413Z,65.067,not-afk
2023-01-21T21:10:48.046Z,184.375,afk
2023-01-21T21:10:33.311Z,14.743,not-afk
2023-01-21T19:55:28.444Z,4504.866,afk
2023-01-21T19:55:28.444Z,653.239,afk
2023-01-21T19:55:14.561Z,13.898,not-afk
2023-01-21T19:44:20.022Z,654.538,afk
2023-01-21T19:44:20.022Z,204.76,afk
2023-01-21T19:31:48.230Z,751.808,not-afk
2023-01-21T19:26:45.929Z,302.3,afk
2023-01-21T19:26:45.929Z,207.134,afk
2023-01-21T19:26:45.929Z,222.152,afk
2023-01-21T19:26:45.929Z,0.013,not-afk
2023-01-21T19:26:45.929Z,207.134,afk
2023-01-21T19:26:45.929Z,222.152,afk
2023-01-21T19:26:45.929Z,202.131,afk
2023-01-21T19:26:45.928Z,0.014,not-afk
2023-01-21T19:23:40.574Z,185.364,afk
2023-01-21T19:14:21.451Z,559.133,not-afk
2023-01-21T19:05:27.600Z,533.85,afk
2023-01-21T19:05:27.600Z,423.74,afk
2023-01-21T19:05:27.600Z,428.746,afk
2023-01-21T19:05:27.600Z,428.746,afk
2023-01-21T19:05:27.600Z,413.726,afk
2023-01-21T18:57:04.786Z,502.829,not-afk
2023-01-21T18:49:03.945Z,480.84,afk
2023-01-21T18:49:03.945Z,230.464,afk
2023-01-21T18:49:03.945Z,220.45,afk
2023-01-21T18:36:37.758Z,746.201,not-afk
2023-01-21T18:31:31.209Z,306.548,afk
2023-01-21T18:31:31.209Z,256.508,afk
2023-01-21T18:31:31.209Z,246.49,afk
2023-01-21T18:30:52.371Z,38.854,not-afk
2023-01-21T17:55:22.616Z,2129.754,afk
2023-01-21T17:55:22.616Z,202.244,afk
2023-01-21T17:55:22.616Z,197.244,afk
2023-01-21T17:55:03.953Z,18.678,not-afk
2023-01-21T17:20:48.897Z,2055.055,afk
2023-01-21T17:20:48.897Z,231.776,afk
2023-01-21T17:20:48.897Z,226.776,afk
2023-01-21T17:19:12.931Z,95.981,not-afk
2023-01-21T17:19:12.931Z,95.978,not-afk
2023-01-21T17:19:12.931Z,44.435,not-afk
2023-01-21T16:57:39.538Z,1293.404,afk
2023-01-21T16:57:39.538Z,283.448,afk
2023-01-21T16:57:39.538Z,0.015,not-afk
2023-01-21T16:57:39.538Z,268.425,afk
2023-01-21T16:57:39.538Z,258.395,afk
2023-01-21T16:57:39.538Z,278.441,afk
2023-01-21T16:57:39.538Z,263.405,afk
2023-01-21T16:57:39.538Z,283.448,afk
2023-01-21T16:57:39.538Z,288.463,afk
2023-01-21T16:57:39.538Z,253.393,afk
2023-01-21T16:52:11.069Z,328.472,afk
2023-01-21T16:52:11.069Z,226.231,afk
