timestamp,duration,app,title
2023-01-11T14:04:01.392Z,1261.15,firefox.exe,KM_C364e-20181005142554 - PW_JAP_M1_skrypt_EStrebeyko_MARUGOTO_202223.pdf — Mozilla Firefox
2023-01-11T14:04:00.148Z,0,firefox.exe,sprawozdanko2 - Online LaTeX Editor Overleaf — Mozilla Firefox
2023-01-11T14:03:57.661Z,1.233,firefox.exe,KM_C364e-20181005142554 - PW_JAP_M1_skrypt_EStrebeyko_MARUGOTO_202223.pdf — Mozilla Firefox
2023-01-11T14:03:52.711Z,3.723,firefox.exe,leslie macierz - Szukaj w Google — Mozilla Firefox
2023-01-11T14:03:43.653Z,7.754,firefox.exe,leslie matrix - Szukaj w Google — Mozilla Firefox
2023-01-11T14:03:41.041Z,1.279,firefox.exe,Leslie matrix - Wikipedia — Mozilla Firefox
2023-01-11T14:03:32.357Z,7.436,firefox.exe,sprawozdanko2 - Online LaTeX Editor Overleaf — Mozilla Firefox
2023-01-11T14:03:19.912Z,11.079,firefox.exe,Leslie matrix - Wikipedia — Mozilla Firefox
2023-01-11T14:03:13.463Z,5.091,firefox.exe,leslie matrix - Szukaj w Google — Mozilla Firefox
2023-01-11T14:03:08.471Z,3.704,firefox.exe,Eigenvalue perturbation - Wikipedia — Mozilla Firefox
2023-01-11T14:01:09.849Z,117.412,firefox.exe,Test matrices - MATLAB gallery — Mozilla Firefox
2023-01-11T14:01:08.604Z,0,MATLAB.exe,MATLAB R2022b - academic use
2023-01-11T14:01:06.104Z,1.239,firefox.exe,Test matrices - MATLAB gallery — Mozilla Firefox
2023-01-11T14:01:04.868Z,0,firefox.exe,KM_C364e-20181005142554 - PW_JAP_M1_skrypt_EStrebeyko_MARUGOTO_202223.pdf — Mozilla Firefox
2023-01-11T13:58:42.656Z,140.984,firefox.exe,sprawozdanko2 - Online LaTeX Editor Overleaf — Mozilla Firefox
2023-01-11T13:58:41.448Z,0,firefox.exe,Test matrices - MATLAB gallery — Mozilla Firefox
2023-01-11T13:52:38.101Z,362.138,firefox.exe,KM_C364e-20181005142554 - PW_JAP_M1_skrypt_EStrebeyko_MARUGOTO_202223.pdf — Mozilla Firefox
